"Jahr","Moran's I","p value"
2008,0.679317685923766,4.08562073062058e-14
2009,0.676168968577821,7.26085858104852e-14
2010,0.699478868986956,1.26565424807268e-14
2011,0.694367025490518,1.73194791841524e-14
2012,0.687697562619984,2.93098878501041e-14
2013,0.688866514671864,2.66453525910038e-14
2014,0.682551752664235,4.2632564145606e-14
2015,0.667324213733708,1.45661260830821e-13
